"TIME","USD","JPY","CZK","DKK","GBP","HUF","PLN","RON","SEK","CHF","NOK","HRK","RUB","TRY","AUD","CAD","CNY","HKD","IDR","KRW","MYR","NZD","PHP","SGD","THB","ZAR"
2007-01-01,1.317,156.93,27.485,7.456,0.6715,251.77,3.831,3.3835,9.0404,1.6069,8.238,7.3504,34.68,1.864,1.6691,1.5281,10.2793,10.2409,11844.44,1224.81,4.649,1.8725,64.546,2.0202,46.77,9.2124
2007-01-02,1.327,157.76,27.525,7.4566,0.6735,251.44,3.8287,3.3829,9.0245,1.6104,8.208,7.3625,34.876,1.8758,1.6694,1.5452,10.3574,10.3273,11926.41,1228.34,4.6843,1.876,64.89,2.0308,47.462,9.2299
2007-01-03,1.3231,157.76,27.455,7.4552,0.6747,251.21,3.827,3.3583,9.019,1.6132,8.2385,7.37,34.807,1.862,1.6645,1.5457,10.3269,10.3022,11868.21,1225.26,4.6474,1.8773,64.7,2.027,47.043,9.17
2007-01-04,1.3106,156.11,27.605,7.4531,0.6739,252.74,3.8521,3.3733,9.0696,1.6132,8.273,7.3595,34.558,1.858,1.6681,1.539,10.2345,10.2081,11808.51,1220.63,4.6153,1.8753,63.99,2.0137,46.625,9.2244
2007-01-05,1.3084,154.55,27.635,7.4532,0.6747,253.63,3.8731,3.3877,9.0726,1.6097,8.283,7.371,34.523,1.8762,1.6697,1.5374,10.2117,10.1914,11791.96,1222.57,4.5958,1.8885,63.915,2.0084,46.841,9.3518
2007-01-08,1.3006,154.42,27.649,7.4527,0.6731,253.26,3.8663,3.3872,9.061,1.6097,8.264,7.3686,34.8,1.878,1.6675,1.5282,10.1668,10.1364,11757.42,1220.09,4.571,1.8972,63.443,1.9999,46.371,9.42
2007-01-09,1.3018,155.26,27.6,7.4538,0.67025,253,3.8599,3.3836,9.096,1.6127,8.2555,7.3675,34.449,1.868,1.6675,1.5327,10.1605,10.1496,11761.76,1221.87,4.5667,1.8796,63.294,2.0003,46.754,9.385
2007-01-10,1.2988,154.99,27.735,7.4539,0.6702,256.72,3.9038,3.4107,9.1198,1.6138,8.2985,7.3714,34.413,1.8918,1.6664,1.5301,10.1399,10.1277,11793.1,1218.08,4.5659,1.8851,63.446,1.9967,46.837,9.5764
2007-01-11,1.2984,156.16,27.774,7.4541,0.6654,255.44,3.8787,3.4119,9.1431,1.6129,8.3525,7.3703,34.428,1.873,1.6573,1.5296,10.1209,10.1248,11842.06,1219.13,4.5684,1.8773,63.589,2.0018,46.639,9.4487
2007-01-12,1.2893,155.24,27.755,7.4529,0.66165,253.05,3.8732,3.4069,9.1115,1.6125,8.3435,7.3686,34.297,1.8485,1.6544,1.5136,10.0545,10.055,11771.31,1212.01,4.5312,1.8692,63.176,1.9918,46.337,9.3538
