"Label","Country","Currency"
"USD","United States","US DOLLAR"
"JPY","Japan","YEN"
"CZK","Czech Republic","CZECH KORUNA"
"DKK","Denmark","DANISH KRONE"
"GBP","United Kingdom","POUND STERLING"
"HUF","Hungary","FORINT"
"PLN","Poland","ZLOTY"
"RON","Romania","ROMANIAN LEU"
"SEK","Sweden","SWEDISH KRONA"
"CHF","Switzerland","SWISS FRANC"
"NOK","Norway","NORWEGIAN KRONE"
"HRK","Croatia","CROATIAN KUNA"
"RUB","Russian Federation","RUSSIAN RUBLE"
"TRY","Turkey","TURKISH LIRA"
"AUD","Australia","AUSTRALIAN DOLLAR"
"CAD","Canada","CANADIAN DOLLAR"
"CNY","China","YUAN RENMINBI"
"HKD","Hong Kong","HONG KONG DOLLAR"
"IDR","Indonesia","RUPIAH"
"KRW","Korea, Republic of","WON"
"MYR","Malaysia","MALAYSIAN RINGGIT"
"NZD","New Zealand","NEW ZEALAND DOLLAR"
"PHP","Philippines","PHILIPPINE PESO"
"SGD","Singapore","SINGAPORE DOLLAR"
"THB","Thailand","BAHT"
"ZAR","South Africa","RAND"
